Mixer name: 'RK29_RT3261'
Number of controls: 159
ctl	type	num	name                                     value
118	BOOL	1	Stereo DAC MIXL ANC Switch               Off
119	ENUM	1	DAC R2 Mux                               IF2
120	ENUM	1	DAC L2 Mux                               IF2
121	BOOL	1	DAC MIXR Stereo ADC Switch               Off
122	BOOL	1	DAC MIXR INF1 Switch                     On
123	BOOL	1	DAC MIXL Stereo ADC Switch               Off
124	BOOL	1	DAC MIXL INF1 Switch                     On
125	ENUM	1	DAI select                               1:2|2:1|3:3
126	ENUM	1	SDI select                               IF1
127	ENUM	1	IF2 ADC R Mux                            Mono ADC MIXR
128	ENUM	1	IF2 ADC L Mux                            TxDP
129	BOOL	1	Mono ADC MIXR ADC1 Switch                On
130	BOOL	1	Mono ADC MIXR ADC2 Switch                Off
131	BOOL	1	Mono ADC MIXL ADC1 Switch                Off
132	BOOL	1	Mono ADC MIXL ADC2 Switch                Off
133	BOOL	1	Stereo ADC MIXR ADC1 Switch              Off
134	BOOL	1	Stereo ADC MIXR ADC2 Switch              Off
135	BOOL	1	Stereo ADC MIXL ADC1 Switch              Off
136	BOOL	1	Stereo ADC MIXL ADC2 Switch              Off
137	ENUM	1	Mono ADC R2 Mux                          DMIC R1
138	ENUM	1	Mono ADC R1 Mux                          ADCR
139	ENUM	1	Mono ADC L1 Mux                          ADCL
140	ENUM	1	Mono ADC L2 Mux                          DMIC L1
141	ENUM	1	Stereo ADC R1 Mux                        ADC
142	ENUM	1	Stereo ADC L1 Mux                        ADC
143	ENUM	1	Stereo ADC R2 Mux                        DMIC1
144	ENUM	1	Stereo ADC L2 Mux                        DMIC1
145	BOOL	1	RECMIXR HPOR Switch                      Off
146	BOOL	1	RECMIXR INR Switch                       Off
147	BOOL	1	RECMIXR BST3 Switch                      Off
148	BOOL	1	RECMIXR BST2 Switch                      Off
149	BOOL	1	RECMIXR BST1 Switch                      On
150	BOOL	1	RECMIXR OUT MIXR Switch                  Off
151	BOOL	1	RECMIXL HPOL Switch                      Off
152	BOOL	1	RECMIXL INL Switch                       Off
153	BOOL	1	RECMIXL BST3 Switch                      Off
154	BOOL	1	RECMIXL BST2 Switch                      Off
155	BOOL	1	RECMIXL BST1 Switch                      Off
156	BOOL	1	RECMIXL OUT MIXL Switch                  Off
157	ENUM	1	INR Mux                                  IN2N
158	ENUM	1	INL Mux                                  IN2P
